initializing,approximating,computingfulldistances,finalizing,finished,dataset,distance,linkage,strategy
1738,1577.0,16955,769,21039,NonInvasiveFetalECGThorax1,lorentzian,complete,approx_distance_ascending
400,2016.0,113166,1748,117330,edeniss20182020_ics_anomalies,msm,single,approx_distance_ascending
1402,1625.0,40646,365,44038,CinCECGTorso,sbd,average,pre_clustering
583,1934.0,111440,104,114061,InsectWingbeatSound,msm,weighted,fcfs
1595,6555.0,2165065,1159,2174374,FordA,msm,single,pre_clustering
359,1045.0,2768,361,4533,FiftyWords,sbd,weighted,pre_clustering
1020,60244.0,12258212,1019,12320495,UWaveGestureLibraryX,kdtw,ward,fcfs
372,258.0,21544,157,22331,WormsTwoClass,msm,single,approx_distance_ascending
155,97.0,20,5,277,edeniss20182020_ec_anomalies,lorentzian,complete,fcfs
635,2234.0,6671572,348,6674789,EOGHorizontalSignal,kdtw,weighted,approx_distance_ascending
667,955.0,4507,315,6444,SmallKitchenAppliances,sbd,complete,pre_clustering
361,246.0,21938,70,22615,WormsTwoClass,dtw,single,fcfs
325,236.0,21813,221,22595,Worms,dtw,complete,pre_clustering
183,1781.0,14343,32,16339,ProximalPhalanxOutlineAgeGroup,kdtw,ward,fcfs
603,807.0,7116,249,8775,EOGVerticalSignal,sbd,complete,approx_distance_ascending
103,500.0,111,132,846,Chinatown,sbd,weighted,approx_distance_ascending
522,317.0,103221,229,104289,Haptics,msm,complete,approx_distance_ascending
904,298.0,2411,415,4028,SemgHandGenderCh2,lorentzian,average,pre_clustering
201,88.0,48,10,347,ToeSegmentation1,lorentzian,complete,fcfs
347,671.0,19152,372,20542,CricketX,msm,single,pre_clustering
203,219.0,117,74,613,DistalPhalanxOutlineCorrect,euclidean,single,fcfs
274,4648.0,78599,68,83589,MedicalImages,kdtw,ward,fcfs
184,169.0,459,15,827,ProximalPhalanxOutlineAgeGroup,lorentzian,average,pre_clustering
319,2923.0,365207,412,368861,WordSynonyms,kdtw,weighted,approx_distance_ascending
293,54.0,176,3,526,Rock,lorentzian,single,pre_clustering
197,785.0,1718,43,2743,SonyAIBORobotSurface2,msm,ward,fcfs
190,2817.0,30147,22,33176,DistalPhalanxOutlineCorrect,kdtw,single,fcfs
92,477.0,114,187,870,Chinatown,sbd,average,approx_distance_ascending
358,65.0,61,70,554,Worms,euclidean,single,approx_distance_ascending
159,67.0,147,2,375,Meat,lorentzian,single,pre_clustering
202,145.0,170,125,642,ProximalPhalanxTW,euclidean,average,approx_distance_ascending
158,264.0,9003,458,9883,FaceFour,kdtw,single,approx_distance_ascending
162,50.0,24,3,239,OliveOil,lorentzian,single,pre_clustering
384,206.0,209,92,891,FiftyWords,euclidean,ward,pre_clustering
377,1912.0,31674,152,34115,FaceAll,dtw,ward,fcfs
1161,5469.0,699040,1322,706992,UWaveGestureLibraryZ,dtw,ward,pre_clustering
639,74559.0,2991423,644,3067265,ECG5000,kdtw,single,approx_distance_ascending
127,334.0,247,103,811,edeniss20182020_level_anomalies,sbd,weighted,approx_distance_ascending
345,70.0,37,31,483,WormsTwoClass,euclidean,ward,fcfs
1856,6927.0,122942,793,132518,NonInvasiveFetalECGThorax2,sbd,average,pre_clustering
218,544.0,9743,401,10906,edeniss20182020_pressure_anomalies,msm,ward,pre_clustering
645,2340.0,2184346,228,2187559,SmallKitchenAppliances,kdtw,average,fcfs
245,1200.0,5107,179,6731,TwoLeadECG,sbd,single,pre_clustering
295,446.0,815,8,1564,InsectEPGRegularTrain,sbd,complete,fcfs
195,125.0,68,84,472,DistalPhalanxTW,euclidean,weighted,fcfs
375,3199.0,6822,528,10924,FacesUCR,sbd,weighted,approx_distance_ascending
2306,1853.0,6619,987,11765,UWaveGestureLibraryAll,euclidean,weighted,approx_distance_ascending
152,297.0,152,207,808,ItalyPowerDemand,euclidean,ward,fcfs
1008,1848.0,10563,1226,14645,UWaveGestureLibraryY,lorentzian,complete,approx_distance_ascending
207,406.0,214,40,867,AllGestureWiimoteX,lorentzian,complete,fcfs
189,360.0,534,403,1486,MiddlePhalanxTW,msm,weighted,approx_distance_ascending
600,207.0,1227,219,2253,EOGVerticalSignal,lorentzian,complete,pre_clustering
215,41.0,41,14,311,Lightning2,euclidean,ward,approx_distance_ascending
1572,19695.0,53049397,400,53071064,MixedShapesSmallTrain,kdtw,average,fcfs
553,1146.0,3207995,385,3210079,PigArtPressure,kdtw,weighted,pre_clustering
241,1259.0,1564,452,3516,TwoLeadECG,sbd,weighted,pre_clustering
158,444.0,661,17,1280,edeniss20182020_ph_anomalies,sbd,complete,pre_clustering
92,428.0,253,9,782,SmoothSubspace,sbd,ward,pre_clustering
123,179.0,617,270,1189,edeniss20182020_volume_anomalies,dtw,single,pre_clustering
164,94.0,65,154,477,GestureMidAirD1,lorentzian,average,approx_distance_ascending
223,478.0,77016,277,77994,ShapeletSim,kdtw,weighted,approx_distance_ascending
138,217.0,1394,29,1778,edeniss20182020_ph_anomalies,msm,average,fcfs
129,189.0,204,2,524,BeetleFly,sbd,weighted,pre_clustering
4908,38254.0,1015895,4237,1063294,StarLightCurves,sbd,weighted,pre_clustering
497,391.0,157188,226,158302,PigArtPressure,dtw,average,approx_distance_ascending
151,952.0,27956,438,29497,GesturePebbleZ2,kdtw,complete,approx_distance_ascending
361,721.0,1225,210,2517,FaceAll,euclidean,single,approx_distance_ascending
633,223.0,1476,376,2708,EOGVerticalSignal,lorentzian,single,pre_clustering
551,789.0,3221433,491,3223264,PigCVP,kdtw,single,pre_clustering
172,545.0,695,3,1415,GestureMidAirD1,sbd,complete,pre_clustering
108,67.0,63,14,252,SmoothSubspace,euclidean,weighted,pre_clustering
254,803.0,4690,375,6122,ECGFiveDays,msm,average,approx_distance_ascending
217,254.0,226,3,700,Car,sbd,ward,fcfs
1569,1876.0,2473629,331,2477405,Mallat,dtw,single,pre_clustering
582,464.0,1066,418,2530,ShapesAll,lorentzian,weighted,approx_distance_ascending
222,4714.0,55511,389,60836,TwoLeadECG,kdtw,average,pre_clustering
